,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
monthly_cash_advance,73.6365778972795,49.9076208739494,178.13977426436463,11.217816580140015,51.12837998022318,23.444709965079266,14.172074194215135,188.18812575857123,23.91876001898316,34.161884288315015,291.7383612033975,12.506968467009772,113.28366263572237,112.68006858870014,4.0063286909701565,312.462530429519,34.494832759054745,24.841316805682183,38.821278048631804,304.2978308644023,3.8725349141294547,129.6265408310457,9.44150620839212,24.32046588847973,39.62457648655553,106.1734413796148,34.75618570393082,9.712768214812693,318.24227798176537,21.16404874755494,112.0736922161327,4.157341569156515,124.12402505812783,41.29284568982466,9.913870129863975,39.591321635809805,3.387595888780835,94.31488900813858,16.237050027604955,29.798935153458803,311.13391934743794,233.66292718109378,121.30660006699853
monthly_usage,0.38398770333077986,0.34163778334082723,0.6137167518556514,0.2430088275111468,0.33505413914269133,0.31418059676721144,0.2394834155373487,0.618347611670829,0.34826687468618855,0.3132298891251622,0.6588314997444504,0.23302862738411478,0.541261258008263,0.5403442301637613,0.04581477810781013,0.644826165097201,0.2835845463483875,0.3196997118178857,0.6371973479041896,0.6442168756615672,0.044169867778583095,0.5769473640360342,0.16902927712416332,0.31989200220517927,0.6441417163977469,0.5349904110092542,0.44666417563934724,0.1665592789623768,0.6400339593111611,0.03173056060403759,0.595572809657166,0.0556928536993125,0.5696130532248868,0.6694131627975233,0.16815741693802969,0.6949398582314582,0.05774849022581137,0.605300109334947,0.028715341133154854,0.44977234225494217,0.6460185741322373,0.47723557029596153,0.558506871855518
purchase_type_installments,0.25251396648044694,0.04156626506024096,0.06110735989196489,0.4644177449168207,0.022636484687083888,0.0,0.7511754068716094,0.05665399239543726,0.0,0.016973125884016973,0.14866032843560933,0.7407809110629068,0.008807985907222548,0.004764740917212627,0.8007341373885685,0.10917874396135266,0.010383386581469648,0.0,0.4362709395484341,0.09742120343839542,0.8271537622682661,0.05660377358490566,0.0068694798822374874,0.0,0.45606060606060606,0.003136762860727729,0.0,0.004970178926441352,0.1053740779768177,0.2548618219037871,0.004010695187165776,0.831302116741501,0.04956896551724138,0.47506132461161077,0.004945598417408506,0.5072072072072072,0.8136449778900822,0.0045662100456621,0.26688102893890675,0.0,0.1079219288174512,0.09268292682926829,0.03648068669527897
purchase_type_none,0.22815642458100557,0.0,0.6522619851451722,0.02541589648798521,0.0,0.07208962493911349,0.0,0.7201520912547529,0.0,0.0,0.33707865168539325,0.0,0.9700528479154433,0.9827278141751042,0.0,0.37874396135265703,0.0,0.0,0.0,0.45081184336198665,0.0,0.0,0.0,0.0,0.0,0.9849435382685069,0.0,0.0,0.4351949420442571,0.16581371545547594,0.9806149732620321,0.0,0.0,0.0,0.0,0.0,0.0,0.9802130898021308,0.12861736334405144,0.0,0.4351320321469575,0.6219512195121951,0.0
purchase_type_one_off,0.2093854748603352,0.09759036144578313,0.18298446995273465,0.27033271719038815,0.059254327563249,0.7243058938139308,0.0,0.11330798479087452,0.7921465968586388,0.0594059405940594,0.2394122731201383,0.0,0.0,0.0,0.0,0.2608695652173913,0.06629392971246006,0.8926056338028169,0.0,0.26456542502387775,0.0,0.06289308176100629,0.07262021589793916,0.8999397227245328,0.0,0.0,0.9020376175548589,0.07256461232604373,0.25395152792413067,0.39508700102354144,0.0,0.0,0.04956896551724138,0.0,0.07319485657764589,0.0,0.0,0.0,0.41586280814576637,0.8793929712460063,0.25602755453501724,0.15853658536585366,0.04935622317596566
cluster_3,1.2981005586592178,0.0,1.0,2.0,0.010652463382157125,1.7720409157330737,1.9276672694394212,1.0015209125475286,1.7539267015706805,0.01272984441301273,0.9135695764909249,1.943239334779465,1.0675278919553728,1.0655151876116735,1.9706345044572626,0.9227053140096618,0.004792332268370607,1.744131455399061,1.5571740713765476,0.9914040114613181,1.990185387131952,0.008385744234800839,0.1295387634936212,1.7697408077154912,1.631060606060606,1.0696361355081556,1.6543887147335423,0.12127236580516898,0.9831401475237092,1.9150460593654044,1.0100267379679144,1.984605516356639,0.0021551724137931034,1.6148814390842192,0.13452027695351138,1.5936936936936936,1.9848389134554643,1.0136986301369864,1.9367631296891747,1.6733226837060702,0.981630309988519,1.175609756097561,0.0
cluster_4,1.728826815642458,0.15,2.784604996623903,1.611829944547135,0.0,1.0,2.0,3.0,1.0549738219895288,0.01272984441301273,2.7087294727744164,1.9898770788141722,2.8197298884321786,2.820131030375223,1.9664394336654432,2.7603864734299517,0.003194888178913738,1.0492957746478873,1.7035688273852876,2.964660936007641,1.9760087241003272,0.04821802935010482,0.1560353287536801,1.0367691380349608,1.7916666666666667,2.809284818067754,1.1081504702194358,0.1481113320079523,2.9441517386722866,1.40532241555783,2.950534759358289,1.9974342527261064,0.01293103448275862,1.8062142273098938,0.16221562809099901,1.8099099099099099,1.9974731522425775,2.9406392694063928,1.392282958199357,1.0966453674121406,2.941446613088404,2.529268292682927,0.006437768240343348
cluster_5,2.104804469273743,1.0933734939759037,2.87542201215395,1.9653419593345656,1.059254327563249,0.3653190452995616,2.9783001808318263,3.141444866920152,0.0,1.0,2.0,3.0,4.0,3.985705777248362,2.950183534347142,2.015458937198068,1.0,0.014084507042253521,2.3000728332119444,2.1432664756446993,2.9727371864776444,1.1677148846960168,1.0657507360157017,0.012658227848101266,2.359090909090909,3.9924717691342533,0.07366771159874608,1.0646123260437377,2.0569020021074818,1.6601842374616171,3.985294117647059,3.0,1.1508620689655173,2.392477514309076,1.0771513353115727,2.417117117117117,3.0,3.983257229832572,1.5519828510182208,0.0742811501597444,2.039035591274397,3.0073170731707317,1.1437768240343347
cluster_6,2.3926256983240224,3.2349397590361444,1.2910195813639433,2.8234750462107208,3.1677762982689748,3.707744763760351,2.322242314647378,0.9973384030418251,4.058115183246073,3.1944837340876946,2.296456352636128,2.2946493130874908,0.08338226658837346,0.0,1.0,2.0,3.0,4.0,5.0,1.8681948424068768,1.0043620501635768,2.9979035639413,3.0382728164867516,3.984930681133213,4.90530303030303,0.002509410288582183,3.969435736677116,3.0646123260437377,1.9599578503688093,2.2743091095189354,0.007352941176470588,1.1462475946119308,3.0086206896551726,4.897792313982012,3.09297725024728,4.927927927927928,1.2122552116234997,0.0121765601217656,2.379421221864952,3.9968051118210863,1.9747416762342136,1.3365853658536586,2.982832618025751
cluster_7,3.200558659217877,2.914457831325301,3.6532748143146523,3.0004621072088726,2.822902796271638,4.129566488066245,2.3649186256781194,3.5695817490494295,4.035602094240837,2.8585572842998586,0.6499567847882455,2.334056399132321,5.6881972988843215,5.701608100059559,1.1038280020975353,0.19033816425120773,2.7124600638977636,3.9460093896713615,4.843408594319009,0.0,1.0,2.0,3.0,4.0,5.0,6.0,3.896551724137931,3.018886679920477,0.03161222339304531,3.2886386898669397,5.733957219251337,1.177036561898653,2.0150862068965516,4.942763695829926,3.0514342235410483,4.927927927927928,1.2552116234996842,5.704718417047184,3.1714898177920685,3.9273162939297124,0.029850746268656716,4.280487804878049,2.03862660944206
cluster_8,3.4591061452513965,2.9530120481927713,3.0952059419311277,3.902264325323475,2.958721704394141,1.5236239649293717,5.319349005424955,3.3,1.361780104712042,2.7708628005657707,2.7139152981849612,5.292118582791034,3.9119201409277746,3.877307921381775,4.57000524383849,2.2541062801932368,2.4648562300319488,0.8568075117370892,6.449380917698471,2.0802292263610314,4.639040348964013,5.830188679245283,1.0520117762512267,0.866787221217601,6.653030303030303,3.889585947302384,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0939663699307616,6.986486486486487,5.037902716361339,4.001522070015221,2.990353697749196,0.1509584664536741,2.008036739380023,3.4048780487804877,5.881974248927039
cluster_9,3.355754189944134,2.6259036144578314,4.420661715057394,2.9068853974121995,2.6391478029294273,4.4184120798830975,1.962748643761302,4.4,4.440837696335079,2.355021216407355,5.621434745030251,1.99530007230658,3.6400469759248386,3.6545562835020844,2.3497640272679603,6.090821256038647,2.443290734824281,4.697183098591549,1.4930808448652586,5.834765998089781,2.400218102508179,7.750524109014675,0.2168792934249264,4.761904761904762,1.4356060606060606,3.6449184441656213,5.045454545454546,0.09443339960238568,6.079030558482613,4.165813715455476,3.500668449197861,2.031430404105196,7.875,1.311529026982829,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
